_address	name	description	unit	type	len	factor	formula	offset	role	room	cw	isScale
30501	Isttemperatur-FE7	Isttemperatur FE7	°C	uint16be	1	0.1		0	value.temperature			
30502	Solltemperatur-FE7	Solltemperatur FE7	°C	uint16be	1	0.1		0	value.temperature			
30507	Aussentemperatur	Aussentemperatur	°C	int16be	1	0.1		0	value.temperature			
30508	Isttemperatur HK1	Isttemperatur HK1	°C	uint16be	1	0.1		0	value.temperature			
30510	Solltemperatur HK1	Solltemperatur HK1	°C	uint16be	1	0.1		0	value.temperature			
30511	Isttemperatur-HK2	Isttemperatur HK 2	°C	uint16be	1	0.1		0	value.temperature			
30512	Solltemperatur-HK2	Solltemperatur HK 2	°C	uint16be	1	0.1		0	value.temperature			
30513	Vorlaufisttemperatur WP	Vorlaufisttemperatur WP	°C	uint16be	1	0.1		0	value.temperature			
30514	Vorlaufisttemperatur NHZ	Vorlaufisttemperatur NHZ	°C	uint16be	1	0.1		0	value.temperature			
30515	Vorlaufisttemperatur	Vorlaufisttemperatur	°C	uint16be	1	0.1		0	value.temperature			
30516	Ruecklaufisttemperatur	Rücklaufisttemperatur	°C	uint16be	1	0.1		0	value.temperature			
30517	Festwertsolltemperatur	Festwertsolltemperatur	°C	uint16be	1	0.1		0	value.temperature			
30518	Pufferisttemperatur	Pufferisttemperatur	°C	uint16be	1	0.1		0	value.temperature			
30519	Puffersolltemperatur	Puffersolltemperatur	°C	uint16be	1	0.1		0	value.temperature			
30520	Heizungsdruck	Heizungsdruck	bar	uint16be	1	0.1		0	value.valve			
30521	Volumenstrom	Volumenstrom	l/min	uint16be	1	0.1		0	level.valve			
30522	WW-Isttemperatur	Isttemperatur Warmwasser	°C	uint16be	1	0.1		0	value.temperature			
30523	WW-Solltemperatur	Solltemperatur Warmwasser	°C	uint16be	1	0.1		0	value.temperature			
30524	Isttemp-Geblaese	Isttemperatur Gebläse	K	uint16be	1	0.1		0	value.temperature			
30525	Solltemp-Geblaese	Solltemperatur Gebläse	K	uint16be	1	0.1		0	value.temperature			
30526	Isttemp-Flaeche	Isttemperatur Fläche	K	uint16be	1	0.1		0	value.temperature			
30527	Solltemp-Flaeche	Solltemperatur Fläche	K	uint16be	1	0.1		0	value.temperature			
30531	Isttemperatur-extern	Isttemperatur - Wärmeerzeuger extern	°C	uint16be	1	0.1		0	value.temperature			
30532	Solltemperatur-extern	Solltemperatur - Wärmeerzeuger extern	K	uint16be	1	0.1		0	value.temperature			
30533	Einsatzgrenze-HZG	Einsatzgrenze Heizung	°C	int16be	1	0.1		0	value.temperature			
30534	Einsatzgrenze-WW	Einsatzgrenze Warmwasser	°C	int16be	1	0.1		0	value.temperature			
30535	Laufzeit-extern	Laufzeit - Wärmeerzeuger extern	h	uint16be	1	1		0	value			
30536	Quellentemperatur	Quellentemperatur	°C	int16be	1	0.1		0	value.temperature			
30537	Quellentemperatur-Min	Quellentemperatur Min	°C	int16be	1	0.1		0	value.temperature			
30538	Quellendruck	Quellendruck	bar	int16be	1	0.01		0	value.valve			
30542	Ruecklauftemp-WP1	Rücklauftemperatur Wärmepumpe 1	°C	uint16be	1	0.1		0	value.temperature			
30543	Vorlauftemp-WP1	Vorlauftemperatur Wärmepumpe 1	°C	uint16be	1	0.1		0	value.temperature			
30544	Heissgastemp-WP1	Heissgastemperatur Wärmepumpe 1	°C	uint16be	1	0.1		0	value.temperature			
30545	Druck-ND-WP1	Druck Niederdruck Wärmepumpe 1	bar	uint16be	1	0.01		0	value.valve			
30546	Druck-MD-WP1	Druck Mitteldruck Wärmepumpe 1	bar	uint16be	1	0.01		0	value.valve			
30547	Druck-HD-WP1	Druck Hochdruck Wärmepumpe 1	bar	uint16be	1	0.01		0	value.valve			
30548	Wasservolumenstrom-WP1	Wasservolumenstrom Wärmepumpe 1	l/min	uint16be	1	0.1		0	value.valve			
30549	Ruecklauftemp-WP2	Rücklauftemperatur Wärmepumpe 2	°C	uint16be	1	0.1		0	value.temperature			
30550	Vorlauftemp-WP2	Vorlauftemperatur Wärmepumpe 2	°C	uint16be	1	0.1		0	value.temperature			
30551	Heissgastemp-WP2	Heissgastemperatur Wärmepumpe 2	°C	uint16be	1	0.1		0	value.temperature			
30552	Druck-ND-WP2	Druck Niederdruck Wärmepumpe 2	bar	uint16be	1	0.01		0	value.valve			
30553	Druck-MD-WP2	Druck Mitteldruck Wärmepumpe 2	bar	uint16be	1	0.01		0	value.valve			
30554	Druck-HD-WP2	Druck Hochdruck Wärmepumpe 2	bar	uint16be	1	0.01		0	value.valve			
30555	Wasservolumenstrom-WP2	Wasservolumenstrom Wärmepumpe 2	l/min	uint16be	1	0.1		0	value.valve			
30556	Ruecklauftemp-WP3	Rücklauftemperatur Wärmepumpe 3	°C	uint16be	1	0.1		0	value.temperature			
30557	Vorlauftemp-WP3	Vorlauftemperatur Wärmepumpe 3	°C	uint16be	1	0.1		0	value.temperature			
30558	Heissgastemp-WP3	Heissgastemperatur Wärmepumpe 3	°C	uint16be	1	0.1		0	value.temperature			
30559	Druck-ND-WP3	Druck Niederdruck Wärmepumpe 3	bar	uint16be	1	0.01		0	value.valve			
30560	Druck-MD-WP3	Druck Mitteldruck Wärmepumpe 3	bar	uint16be	1	0.01		0	value.valve			
30561	Druck-HD-WP3	Druck Hochdruck Wärmepumpe 3	bar	uint16be	1	0.01		0	value.valve			
30562	Wasservolumenstrom-WP3	Wasservolumenstrom Wärmepumpe 3	l/min	uint16be	1	0.1		0	value.valve			
30563	Ruecklauftemp-WP4	Rücklauftemperatur Wärmepumpe 4	°C	uint16be	1	0.1		0	value.temperature			
30564	Vorlauftemp-WP4	Vorlauftemperatur Wärmepumpe 4	°C	uint16be	1	0.1		0	value.temperature			
30565	Heissgastemp-WP4	Heissgastemperatur Wärmepumpe 4	°C	uint16be	1	0.1		0	value.temperature			
30566	Druck-ND-WP4	Druck Niederdruck Wärmepumpe 4	bar	uint16be	1	0.01		0	value.valve			
30567	Druck-MD-WP4	Druck Mitteldruck Wärmepumpe 4	bar	uint16be	1	0.01		0	value.valve			
30568	Druck-HD-WP4	Druck Hochdruck Wärmepumpe 4	bar	uint16be	1	0.01		0	value.valve			
30569	Wasservolumenstrom-WP4	Wasservolumenstrom Wärmepumpe 4	l/min	uint16be	1	0.1		0	value.valve			
30570	Ruecklauftemp-WP5	Rücklauftemperatur Wärmepumpe 5	°C	uint16be	1	0.1		0	value.temperature			
30571	Vorlauftemp-WP5	Vorlauftemperatur Wärmepumpe 5	°C	uint16be	1	0.1		0	value.temperature			
30572	Heissgastemp-WP5	Heissgastemperatur Wärmepumpe 5	°C	uint16be	1	0.1		0	value.temperature			
30573	Druck-ND-WP5	Druck Niederdruck Wärmepumpe 5	bar	uint16be	1	0.01		0	value.valve			
30574	Druck-MD-WP5	Druck Mitteldruck Wärmepumpe 5	bar	uint16be	1	0.01		0	value.valve			
30575	Druck-HD-WP5	Druck Hochdruck Wärmepumpe 5	bar	uint16be	1	0.01		0	value.valve			
30576	Wasservolumenstrom-WP5	Wasservolumenstrom Wärmepumpe 5	l/min	uint16be	1	0.1		0	value.valve			
30577	Ruecklauftemp-WP6	Rücklauftemperatur Wärmepumpe 6	°C	uint16be	1	0.1		0	value.temperature			
30578	Vorlauftemp-WP6	Vorlauftemperatur Wärmepumpe 6	°C	uint16be	1	0.1		0	value.temperature			
30579	Heissgastemp-WP6	Heissgastemperatur Wärmepumpe 6	°C	uint16be	1	0.1		0	value.temperature			
30580	Druck-ND-WP6	Druck Niederdruck Wärmepumpe 6	bar	uint16be	1	0.01		0	value.valve			
30581	Druck-MD-WP6	Druck Mitteldruck Wärmepumpe 6	bar	uint16be	1	0.01		0	value.valve			
30582	Druck-HD-WP6	Druck Hochdruck Wärmepumpe 6	bar	uint16be	1	0.01		0	value.valve			
30583	Wasservolumenstrom-WP6	Wasservolumenstrom Wärmepumpe 6	l/min	uint16be	1	0.1		0	value.valve			
30584	Raumisttemp-HK1	Raumisttemperatur HK 1	°C	uint16be	1	0.1		0	value.temperature			
30585	Raumsolltemp-HK1	Raumsolltemperatur HK 1	°C	uint16be	1	0.1		0	value.temperature			
30586	Raumfeuchte-HK1	Raumfeuchte HK 1	%	uint16be	1	0.1		0	value.humidity			
30587	Taupunkttemp-HK1	Taupunkttemperatur HK 1	°C	uint16be	1	0.1		0	value.temperature			
30588	Raumisttemp-HK2	Raumisttemperatur HK 2	°C	uint16be	1	0.1		0	value.temperature			
30589	Raumsolltemp-HK2	Raumsolltemperatur HK 2	°C	uint16be	1	0.1		0	value.temperature			
30590	Raumfeuchte-HK2	Raumfeuchte HK 2	%	uint16be	1	0.1		0	value.humidity			
30591	Taupunkttemp-HK2	Taupunkttemperatur HK 2	°C	uint16be	1	0.1		0	value.temperature			
30592	Raumisttemp-HK3	Raumisttemperatur HK 3	°C	uint16be	1	0.1		0	value.temperature			
30593	Raumsolltemp-HK3	Raumsolltemperatur HK 3	°C	uint16be	1	0.1		0	value.temperature			
30594	Raumfeuchte-HK3	Raumfeuchte HK 3	%	uint16be	1	0.1		0	value.humidity			
30595	Taupunkttemp-HK3	Taupunkttemperatur HK 3	°C	uint16be	1	0.1		0	value.temperature			
30596	Raumisttemp-HK4	Raumisttemperatur HK 4	°C	uint16be	1	0.1		0	value.temperature			
30597	Raumsolltemp-HK4	Raumsolltemperatur HK 4	°C	uint16be	1	0.1		0	value.temperature			
30598	Raumfeuchte-HK4	Raumfeuchte HK 4	%	uint16be	1	0.1		0	value.humidity			
30599	Taupunkttemp-HK4	Taupunkttemperatur HK 4	°C	uint16be	1	0.1		0	value.temperature			
30600	Raumisttemp-HK5	Raumisttemperatur HK 5	°C	uint16be	1	0.1		0	value.temperature			
30601	Raumsolltemp-HK5	Raumsolltemperatur HK 5	°C	uint16be	1	0.1		0	value.temperature			
30602	Raumfeuchte-HK5	Raumfeuchte HK 5	%	uint16be	1	0.1		0	value.humidity			
30603	Taupunkttemp-HK5	Taupunkttemperatur HK 5	°C	uint16be	1	0.1		0	value.temperature			
30604	Solltemp-KK1	Solltemperatur Kühlkreis 1	°C	uint16be	1	0.1		0	value.temperature			
30605	Solltemp-KK2	Solltemperatur Kühlkreis 2	°C	uint16be	1	0.1		0	value.temperature			
30606	Solltemp-KK3	Solltemperatur Kühlkreis 3	°C	uint16be	1	0.1		0	value.temperature			
30607	Solltemp-KK4	Solltemperatur Kühlkreis 4	°C	uint16be	1	0.1		0	value.temperature			
30608	Solltemp-KK5	Solltemperatur Kühlkreis 5	°C	uint16be	1	0.1		0	value.temperature			
32501	Betriebsstatus	Betriebsstatus		uint16be	1	1		0	state			
32502	EVU-Freigabe	EVU-Freigabe		uint16be	1	1		0	state			
32504	Fehlerstatus	Fehlerstatus		uint16be	1	1		0	state			
32505	BUS-Status	BUS-Status		int16be	1	1		0	state			
32506	Abtauen-eingeleitet	Abtauen eingeleitet		uint16be	1	1		0	state			
32507	aktiver-Fehler	aktiver Fehler		uint16be	1	1		0	state			
32508	Meldungsnummer	Meldungsnummer		uint16be	1	1		0	value.valve			
32509	Heizkreispumpe1	Status WPM - Heizkreispumpe 1		uint16be	1	1		0	value.valve			
32510	Heizkreispumpe2	Status WPM - Heizkreispumpe 2		uint16be	1	1		0	value.valve			
32511	Heizkreispumpe3	Status WPM - Heizkreispumpe 3		uint16be	1	1		0	value.valve			
32512	Pufferladepumpe1	Status WPM - Pufferladepumpe 1		uint16be	1	1		0	value.valve			
32513	Pufferladepumpe2	Status WPM - Pufferladepumpe 2		uint16be	1	1		0	value.valve			
32514	WWladepumpe	Status WPM - Warmwasserladepumpe		uint16be	1	1		0	value.valve			
32515	Quellenpumpe	Status WPM - Quellenpumpe		uint16be	1	1		0	value.valve			
32516	Stoerausgang	Status WPM - Störausgang		uint16be	1	1		0	value.valve			
32517	Zirkulationspumpe	Status WPM - Zirkulationspumpe		uint16be	1	1		0	value.valve			
32518	2-WE-WW	Status WPM - 2. WE Warmwasser		uint16be	1	1		0	value.valve			
32519	2-WE-HZ	Status WPM - 2. WE Heizung		uint16be	1	1		0	value.valve			
32520	Kuehlbetrieb	Status WPM - Kühlbetrieb		uint16be	1	1		0	value.valve			
32521	MischerAufHK2	Status WPM - Mischer HK 2 Auf		uint16be	1	1		0	value.valve			
32522	MischerZuHK2	Status WPM - Mischer HK 2 Zu		uint16be	1	1		0	value.valve			
32523	MischerAufHK3	Status WPM - Mischer HK 3 Auf		uint16be	1	1		0	value.valve			
32524	MischerZuHK2	Status WPM - Mischer HK 3 Zu		uint16be	1	1		0	value.valve			
32525	NHZ1	Status WPM - NHZ 1		uint16be	1	1		0	value.valve			
32526	NHZ2	Status WPM - NHZ 2		uint16be	1	1		0	value.valve			
32527	NHZ12	Status WPM - NHZ 1/2		uint16be	1	1		0	value.valve			
32528	Heizkreispumpe4	Status WPM - Heizkreispumpe 4		uint16be	1	1		0	value.valve			
32529	Heizkreispumpe5	Status WPM - Heizkreispumpe 5		uint16be	1	1		0	value.valve			
32530	Pufferladepumpe3	Status WPM - Pufferladepumpe 3		uint16be	1	1		0	value.valve			
32531	Pufferladepumpe4	Status WPM - Pufferladepumpe 4		uint16be	1	1		0	value.valve			
32532	Pufferladepumpe5	Status WPM - Pufferladepumpe 5		uint16be	1	1		0	value.valve			
32533	Pufferladepumpe6	Status WPM - Pufferladepumpe 6		uint16be	1	1		0	value.valve			
32534	Pumpedifferenzregler1	Status WPM - Pumpe Differenzregler 1		uint16be	1	1		0	value.valve			
32535	Pumpedifferenzregler2	Status WPM - Pumpe Differenzregler 2		uint16be	1	1		0	value.valve			
32536	SchwimmbadpumpePrimaer	Status WPM - Schwimmbadpumpe primär		uint16be	1	1		0	value.valve			
32537	SchwimmbadpumpeSekundaer	Status WPM - Schwimmbadpumpe sekundär		uint16be	1	1		0	value.valve			
32538	MischerAufHK4	Status WPM - Mischer HK 4 Auf		uint16be	1	1		0	value.valve			
32539	MischerZuHK4	Status WPM - Mischer HK 4 Zu		uint16be	1	1		0	value.valve			
32540	MischerAufHK5	Status WPM - Mischer HK 5 Auf		uint16be	1	1		0	value.valve			
32541	MischerZuHK5	Status WPM - Mischer HK 5 Zu		uint16be	1	1		0	value.valve			
32542	Verdichter1	Status Wärmepumpe 1 - Verdichter		uint16be	1	1		0	value.valve			
32543	Verdichter2	Status Wärmepumpe 2 - Verdichter		uint16be	1	1		0	value.valve			
32544	Verdichter3	Status Wärmepumpe 3 - Verdichter		uint16be	1	1		0	value.valve			
32545	Verdichter4	Status Wärmepumpe 4 - Verdichter		uint16be	1	1		0	value.valve			
32546	Verdichter5	Status Wärmepumpe 5 - Verdichter		uint16be	1	1		0	value.valve			
32547	Verdichter6	Status Wärmepumpe 6 - Verdichter		uint16be	1	1		0	value.valve			
33501	VD-Heizen-Tag	Wärmemenge-Heizen (alle WP) - Tag	kWh	uint16be	1	1		0	value			
33502	VD-Heizen-Summe	WM-Heizen (alle WP) - Summe	kWh	uint16be	1	1		0	value			
33503	VD-Heizen-Summe	WM-Heizen (alle WP) - Summe	MWh	uint16be	1	1		0	value			
33504	VD-WW-Tag	Wärmemenge-Warmwasser (alle WP) - Tag	kWh	uint16be	1	1		0	value			
33505	VD-WW-Summe	Wärmemenge-Warmwasser (alle WP) - Summe	kWh	uint16be	1	1		0	value			
33506	VD-WW-Summe	Wärmemenge-Warmwasser (alle WP) - Summe	MWh	uint16be	1	1		0	value			
33507	NHZ-Heizen-Summe	NHZ-Heizen (alle WP) - Summe	kWh	uint16be	1	1		0	value			
33508	NHZ-Heizen-Summe	NHZ-Heizen (alle WP) - Summe	MWh	uint16be	1	1		0	value			
33509	NHZ-WW-Summe	NHZ-Warmwasser (alle WP) Heizen - Summe	kWh	uint16be	1	1		0	value			
33510	NHZ-WW-Summe	NHZ-Warmwasser (alle WP) Heizen - Summe	MWh	uint16be	1	1		0	value			
33511	VD-Heizen-Tag	Leistungsaufnahme(alle WP) Heizen - Tag	kWh	uint16be	1	1		0	value			
33512	VD-Heizen-Summe	Leistungsaufnahme(alle WP) Heizen - Summe	kWh	uint16be	1	1		0	value			
