_address	name	description	unit	type	len	factor	formula	offset	role	room	cw	isScale
33513	VD-Heizen-Summe	Leistungsaufnahme(alle WP) Heizen - Summe	MWh	uint16be	1	1		0	value			
33514	VD-Warmwasser-Tag	Leistungsaufnahme (alle WP) Warmwasser - Tag	kWh	uint16be	1	1		0	value.power.consumption			
33515	VD-Warmwasser-Summe	Leistungsaufnahme(alle WP) Warmwasser - Summe	kWh	uint16be	1	1		0	value.power.consumption			
33516	VD-Warmwasser-Summe	Leistungsaufnahme(alle WP) Warmwasser - Summe	MWh	uint16be	1	1		0	value.power.consumption			
33523	VD-Heizen-Tag-WP1	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33524	VD-Heizen-Summe-WP1	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33525	VD-Heizen-Summe-WP1	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 1	MWh	uint16be	1	1		0	value			
33526	VD-WW-Tag-WP1	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33527	VD-WW-Summe-WP1	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33528	VD-WW-Summe-WP1	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 1	MWh	uint16be	1	1		0	value			
33529	NHZ-Heizen-Summe	Nachheizstufe Heizen Wärmemenge - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33530	NHZ-Heizen-Summe	Nachheizstufe Heizen Wärmemenge - Wärmepumpe 1	MWh	uint16be	1	1		0	value			
33531	NHZ-WW-Summe	Nachheizstufe Wärmemenge Warmwasser - Wärmepumpe 1	kWh	uint16be	1	1		0	value			
33532	NHZ-WW-Summe	Nachheizstufe Wärmemenge Warmwasser - Wärmepumpe 1	MWh	uint16be	1	1		0	value			
33533	VD-Heizen-Tag-WP1	Verdichter Heizen Tag Leistungsaufnahme - Wärmepumpe 1		uint16be	1	1		0	value			
33534	VD-Heizen-Summe-WP1	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 1		uint16be	1	1		0	value			
33535	VD-Heizen-Summe-WP1	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 1		uint16be	1	1		0	value			
33536	VD-WW-Tag-WP1	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 1		uint16be	1	1		0	value			
33537	VD-WW-Summe-WP1	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 1		uint16be	1	1		0	value			
33538	VD-WW-Summe-WP1	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 1		uint16be	1	1		0	value			
33539	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33540	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33541	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33542	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 1	h	uint16be	1	1		0	value			
33543	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 1	h	uint16be	1	1		0	value			
33544	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 1	h	uint16be	1	1		0	value			
33545	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33546	NHZ1	Laufzeit Nachheizstufe 1 - Wärmepumpe 1	h	uint16be	1	1		0	value			
33547	NHZ2	Laufzeit Nachheizstufe 2 - Wärmepumpe 1	h	uint16be	1	1		0	value			
33548	NHZ12	Laufzeit Nachheizstufe 1/2 - Wärmepumpe 1	h	uint16be	1	1		0	value			
33549	VD-Heizen-Tag-WP2	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 2	kWh	uint16be	1	1		0	value			
33550	VD-Heizen-Summe-WP2	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 2	kWh	uint16be	1	1		0	value			
33551	VD-Heizen-Summe-WP2	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 2	MWh	uint16be	1	1		0	value			
33552	VD-WW-Tag-WP2	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 2	kWh	uint16be	1	1		0	value			
33553	VD-WW-Summe-WP2	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 2	kWh	uint16be	1	1		0	value			
33554	VD-WW-Summe-WP2	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 2	MWh	uint16be	1	1		0	value			
33555	VD-Heizen-Tag-WP2	Verdichter Heizen Tag Leistungsaufnahme- Wärmepumpe 2		uint16be	1	1		0	value			
33556	VD-Heizen-Summe-WP2	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 2		uint16be	1	1		0	value			
33557	VD-Heizen-Summe-WP2	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 2		uint16be	1	1		0	value			
33558	VD-WW-Tag-WP2	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 2		uint16be	1	1		0	value			
33559	VD-WW-Summe-WP2	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 2		uint16be	1	1		0	value			
33560	VD-WW-Summe-WP2	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 2		uint16be	1	1		0	value			
33561	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33562	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33563	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33564	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 2	h	uint16be	1	1		0	value			
33565	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 2	h	uint16be	1	1		0	value			
33566	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 2	h	uint16be	1	1		0	value			
33567	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33568	VD-Heizen-Tag-WP3	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 3	kWh	uint16be	1	1		0	value			
33569	VD-Heizen-Summe-WP3	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 3	kWh	uint16be	1	1		0	value			
33570	VD-Heizen-Summe-WP3	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 3	MWh	uint16be	1	1		0	value			
33571	VD-WW-Tag-WP3	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 3	kWh	uint16be	1	1		0	value			
33572	VD-WW-Summe-WP3	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 3	kWh	uint16be	1	1		0	value			
33573	VD-WW-Summe-WP3	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 3	MWh	uint16be	1	1		0	value			
33574	VD-Heizen-Tag-WP3	Verdichter Heizen Tag Leistungsaufnahme- Wärmepumpe 3		uint16be	1	1		0	value			
33575	VD-Heizen-Summe-WP3	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 3		uint16be	1	1		0	value			
33576	VD-Heizen-Summe-WP3	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 3		uint16be	1	1		0	value			
33577	VD-WW-Tag-WP3	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 3		uint16be	1	1		0	value			
33578	VD-WW-Summe-WP3	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 3		uint16be	1	1		0	value			
33579	VD-WW-Summe-WP3	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 3		uint16be	1	1		0	value			
33580	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33581	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33582	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33583	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 3	h	uint16be	1	1		0	value			
33584	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 3	h	uint16be	1	1		0	value			
33585	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 3	h	uint16be	1	1		0	value			
33586	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33587	VD-Heizen-Tag-WP4	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 4	kWh	uint16be	1	1		0	value			
33588	VD-Heizen-Summe-WP4	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 4	kWh	uint16be	1	1		0	value			
33589	VD-Heizen-Summe-WP4	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 4	MWh	uint16be	1	1		0	value			
33590	VD-WW-Tag-WP4	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 4	kWh	uint16be	1	1		0	value			
33591	VD-WW-Summe-WP4	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 4	kWh	uint16be	1	1		0	value			
33592	VD-WW-Summe-WP4	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 4	MWh	uint16be	1	1		0	value			
33593	VD-Heizen-Tag-WP4	Verdichter Heizen Tag Leistungsaufnahme- Wärmepumpe 4		uint16be	1	1		0	value			
33594	VD-Heizen-Summe-WP4	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 4		uint16be	1	1		0	value			
33595	VD-Heizen-Summe-WP4	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 4		uint16be	1	1		0	value			
33596	VD-WW-Tag-WP4	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 4		uint16be	1	1		0	value			
33597	VD-WW-Summe-WP4	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 4		uint16be	1	1		0	value			
33598	VD-WW-Summe-WP4	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 4		uint16be	1	1		0	value			
33599	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33600	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33601	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33602	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 4	h	uint16be	1	1		0	value			
33603	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 4	h	uint16be	1	1		0	value			
33604	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 4	h	uint16be	1	1		0	value			
33605	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33606	VD-Heizen-Tag-WP5	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 5	kWh	uint16be	1	1		0	value			
33607	VD-Heizen-Summe-WP5	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 5	kWh	uint16be	1	1		0	value			
33608	VD-Heizen-Summe-WP5	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 5	MWh	uint16be	1	1		0	value			
33609	VD-WW-Tag-WP5	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 5	kWh	uint16be	1	1		0	value			
33610	VD-WW-Summe-WP5	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 5	kWh	uint16be	1	1		0	value			
33611	VD-WW-Summe-WP5	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 5	MWh	uint16be	1	1		0	value			
33612	VD-Heizen-Tag-WP5	Verdichter Heizen Tag Leistungsaufnahme- Wärmepumpe 5		uint16be	1	1		0	value			
33613	VD-Heizen-Summe-WP5	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 5		uint16be	1	1		0	value			
33614	VD-Heizen-Summe-WP5	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 5		uint16be	1	1		0	value			
33615	VD-WW-Tag-WP5	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 5		uint16be	1	1		0	value			
33616	VD-WW-Summe-WP5	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 5		uint16be	1	1		0	value			
33617	VD-WW-Summe-WP5	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 5		uint16be	1	1		0	value			
33618	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33619	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33620	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33621	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 5	h	uint16be	1	1		0	value			
33622	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 5	h	uint16be	1	1		0	value			
33623	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 5	h	uint16be	1	1		0	value			
33624	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33625	VD-Heizen-Tag-WP6	Verdichter Heizen Tag Wärmemenge - Wärmepumpe 6	kWh	uint16be	1	1		0	value			
33626	VD-Heizen-Summe-WP6	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 6	kWh	uint16be	1	1		0	value			
33627	VD-Heizen-Summe-WP6	Verdichter Heizen Summe Wärmemenge - Wärmepumpe 6	MWh	uint16be	1	1		0	value			
33628	VD-WW-Tag-WP6	Verdichter Warmwasser Tag Wärmemenge - Wärmepumpe 6	kWh	uint16be	1	1		0	value			
33629	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 6	kWh	uint16be	1	1		0	value			
33630	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Wärmemenge - Wärmepumpe 6	MWh	uint16be	1	1		0	value			
33631	VD-Heizen-Tag-WP6	Verdichter Heizen Tag Leistungsaufnahme- Wärmepumpe 6		uint16be	1	1		0	value			
33632	VD-Heizen-Summe-WP6	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33633	VD-Heizen-Summe-WP6	Verdichter Heizen Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33634	VD-WW-Tag-WP6	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 6		uint16be	1	1		0	value			
33635	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33636	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33637	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33638	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33639	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33640	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33641	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33642	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33643	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33644	VD-Heizen-WP1	Laufzeit Verdichter Heizen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33645	VD-WW-WP1	Laufzeit Verdichter Warmwasser - Wärmepumpe 1	h	uint16be	1	1		0	value			
33646	VD-Heizen-WP2	Laufzeit Verdichter Heizen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33647	VD-WW-WP2	Laufzeit Verdichter Warmwasser - Wärmepumpe 2	h	uint16be	1	1		0	value			
33648	VD-Heizen-WP3	Laufzeit Verdichter Heizen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33649	VD-WW-WP3	Laufzeit Verdichter Warmwasser - Wärmepumpe 3	h	uint16be	1	1		0	value			
33650	VD-Heizen-WP4	Laufzeit Verdichter Heizen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33651	VD-WW-WP4	Laufzeit Verdichter Warmwasser - Wärmepumpe 4	h	uint16be	1	1		0	value			
33652	VD-Heizen-WP5	Laufzeit Verdichter Heizen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33653	VD-WW-WP5	Laufzeit Verdichter Warmwasser - Wärmepumpe 5	h	uint16be	1	1		0	value			
33654	VD-Heizen-WP6	Laufzeit Verdichter Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33655	VD-WW-WP6	Laufzeit Verdichter Warmwasser - Wärmepumpe 6	h	uint16be	1	1		0	value			
35001	SG_ready_Betriebszustand	SG Ready Betriebszustand		uint16be	1	1		0	indicator			
35002	Reglerkennung	Reglerkennung		uint16be	1	1		0	value			
